ISO code,Country,Variable code,Variable name,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ABW,Aruba,emp,Number of persons engaged (in millions),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0292000006884336,0.030903272330761,0.0329118072986603,0.0348959788680077,0.0366280153393745,0.0380256958305836,0.0391430407762528,0.0400699265301228,0.0409555025398731,0.0419000014662743,0.0428076572716236,0.0437363088130951,0.0446316227316856,0.04538519307971,0.0459417924284935,0.0462720952928066,0.0464114993810654,0.0464351586997509,0.0464408583939076,0.0465000011026859,0.0456899367272854,0.0459200739860535,0.0461882688105106,0.0464636273682117,0.0467174984514713,0.0469552464783192,0.0471764281392098,0.0473908968269825,0.0476008877158165
ABW,Aruba,labsh,Share of labour compensation in GDP at current national prices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.648357033729553,0.648357033729553,0.648357033729553,0.648357033729553,0.648357033729553,0.637259483337402,0.634907245635986,0.638231813907623,0.655210614204407,0.645106136798859,0.645106136798859,0.645106136798859,0.645106136798859,0.645106136798859,0.645106136798859,0.645106136798859,0.645106136798859,0.645106136798859,0.645106136798859,0.645106136798859,0.645106136798859,0.645106136798859,0.645106136798859,0.645106136798859,0.645106136798859,0.645106136798859,0.645106136798859,0.645106136798859,0.645106136798859
ABW,Aruba,rgdpna,Real GDP at constant 2017 national prices (in mil. 2017US$),,,,,,,,,,,,,,,,,,,,,262.30859375,286.1484375,312.154968261719,340.525115966797,371.473663330078,405.234985351563,442.064666748047,482.241638183594,526.070068359375,573.8818359375,626.039001464844,682.936340332031,745.0048828125,812.714538574219,886.577941894531,967.154357910156,1055.05395507813,1224.69006347656,1453.07824707031,1629.33435058594,1693.87890625,1828.76025390625,1936.33447265625,2077.8359375,2248.29956054688,2304.65869140625,2333.35375976563,2515.69213867188,2683.40380859375,2714.3828125,2836.91186523438,2826.56567382813,2765.3857421875,2778.25268554688,2987.16284179688,3022.31225585938,3030.11206054688,3115.2412109375,3042.48022460938,2782.59252929688,2691.88891601563,2701.08422851563,2664.08349609375,2775.92749023438,2783.49291992188,2942.7822265625,3003.41357421875,3062.58056640625,3090.40478515625,3068.75830078125
ABW,Aruba,rkna,Capital services at constant 2017 national prices (2017=1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.252451092004776,0.275394767522812,0.298533737659454,0.323427110910416,0.354653835296631,0.380673259496689,0.410821884870529,0.446150720119476,0.47773751616478,0.502292454242706,0.526850283145905,0.55792909860611,0.59249085187912,0.629640102386475,0.674656689167023,0.722972810268402,0.765079617500305,0.809528648853302,0.846742212772369,0.873777449131012,0.900283873081207,0.921290397644043,0.9367955327034,0.951989591121674,0.965333580970764,0.982336938381195,1,1.01688063144684,1.03246700763702
AGO,Angola,emp,Number of persons engaged (in millions),,,,,,,,,,,,,,,,,,,,,3.6662073135376,3.7424840927124,3.85327124595642,3.98780703544617,4.13069629669189,4.27097415924072,4.40544080734253,4.5376672744751,4.67008113861084,4.80721664428711,4.95223426818848,5.10306882858276,5.25989103317261,5.42216444015503,5.58911466598511,5.76009845733643,5.93518257141113,6.11435317993164,6.2967324256897,6.48124933242798,6.6672420501709,6.86436939239502,7.06692266464233,7.271164894104,7.46642398834229,7.67018365859985,7.89086055755615,8.14748001098633,8.42909526824951,8.73093318939209,9.06355476379395,9.39617443084717,9.70118045806885,9.99083614349365,10.2794609069824,10.6196088790894,11.0052919387817,11.414647102356,11.8423156738281,12.2691717147827,11.9778327941895,12.6886281967163,13.1216897964478,13.5654230117798,14.0392742156982,14.5290975570679,15.0283393859863,15.5445518493652,16.0783309936523,16.644962310791
AGO,Angola,hc,"Human capital index, based on years of schooling and returns to education; see Human capital in PWT9.",,,,,,,,,,,,,,,,,,,,,1.01568579673767,1.01819562911987,1.02071154117584,1.02323377132416,1.02576220035553,1.02829682826996,1.03083777427673,1.03338503837585,1.03593850135803,1.03849828243256,1.04106438159943,1.0503808259964,1.05978059768677,1.06926441192627,1.07883322238922,1.08848750591278,1.09822833538055,1.10805630683899,1.11797213554382,1.12797677516937,1.13807094097137,1.15304005146027,1.16820621490479,1.18357169628143,1.19913935661316,1.21491169929504,1.23089158535004,1.24708163738251,1.26348471641541,1.2801034450531,1.29694080352783,1.30848634243011,1.32013463973999,1.33188664913178,1.34374332427979,1.35570561885834,1.36777424812317,1.37995040416718,1.39223492145538,1.40462875366211,1.41713297367096,1.42419624328613,1.43129467964172,1.43842852115631,1.44559788703918,1.45280301570892,1.46004402637482,1.46732115745544,1.4746345281601,1.48198437690735
AGO,Angola,labsh,Share of labour compensation in GDP at current national prices,,,,,,,,,,,,,,,,,,,,,0.284384667873383,0.284384667873383,0.284384667873383,0.284384667873383,0.284384667873383,0.284384667873383,0.284384667873383,0.284384667873383,0.284384667873383,0.284384667873383,0.284384667873383,0.284384667873383,0.284384667873383,0.284384667873383,0.284384667873383,0.284384667873383,0.284384667873383,0.284384667873383,0.284384667873383,0.284384667873383,0.284384667873383,0.284384667873383,0.284384667873383,0.284384667873383,0.284384667873383,0.284384667873383,0.284384667873383,0.284384667873383,0.284384667873383,0.284384667873383,0.284384667873383,0.284384667873383,0.284384667873383,0.291652709245682,0.275552868843079,0.231606543064117,0.237113997340202,0.242621317505837,0.255717515945435,0.360010325908661,0.300494611263275,0.287627995014191,0.282354950904846,0.280896753072739,0.28877466917038,0.349127531051636,0.343024909496307,0.346370577812195,0.331142336130142,0.331142336130142
AGO,Angola,rgdpna,Real GDP at constant 2017 national prices (in mil. 2017US$),,,,,,,,,,,,,,,,,,,,,54237.0546875,57491.27734375,57606.26171875,62272.3671875,64202.80859375,60992.671875,57821.05078125,58283.6171875,55194.5859375,55360.16796875,56688.81640625,54194.50390625,54194.50390625,56470.67578125,59858.921875,61953.98046875,63921.7421875,68396.5,72208.15625,72487.9453125,72165.6328125,72881.0546875,68626.0546875,52167.17578125,52865.88671875,60795.7734375,69030.1796875,74051.625,77525.5,79216.703125,81636.4765625,84199.8671875,96434.1015625,99317.3359375,110195.65625,126757.1796875,141521.796875,161348.046875,179361.671875,180901.59375,189691.96875,196278.03125,213044.40625,223599.890625,234383.265625,236594.859375,230491.171875,230151.34375,225540.046875,222151.0625
AGO,Angola,rkna,Capital services at constant 2017 national prices (2017=1),,,,,,,,,,,,,,,,,,,,,,,,,0.217747569084167,0.228412970900536,0.237816914916039,0.247307673096657,0.255079478025436,0.26261842250824,0.268872976303101,0.275542259216309,0.284444332122803,0.290274024009705,0.297140389680862,0.30003547668457,0.301036953926086,0.303462833166122,0.303754657506943,0.302326530218124,0.301883161067963,0.313890904188156,0.337786108255386,0.354925245046616,0.372319281101227,0.401362776756287,0.45133912563324,0.47640198469162,0.517464697360992,0.547636210918427,0.548049986362457,0.548506617546082,0.553978085517883,0.568081319332123,0.590461790561676,0.610579907894135,0.62860643863678,0.650170087814331,0.693952143192291,0.745384275913239,0.785163164138794,0.827808856964111,0.868107199668884,0.905052602291107,0.940715253353119,0.974279761314392,0.99436354637146,1,1.0036393404007,1.00545656681061
AGO,Angola,rtfpna,TFP at constant national prices (2017=1),,,,,,,,,,,,,,,,,,,,,,,,,1.32200241088867,1.20724189281464,1.10204601287842,1.07037460803986,0.981703042984009,0.955462455749512,0.955701172351837,0.889523267745972,0.86253809928894,0.874676287174225,0.899407386779785,0.913438737392426,0.932877063751221,0.980415880680084,1.02155530452728,1.01605129241943,1.00426983833313,0.975813806056976,0.863172769546509,0.624376654624939,0.602894723415375,0.648631870746613,0.668597280979157,0.680709362030029,0.661674022674561,0.640178799629211,0.649630486965179,0.66330897808075,0.747592389583588,0.749893188476563,0.800954401493073,0.889505386352539,0.961108088493347,1.05666148662567,1.10901629924774,1.05702090263367,1.07451570034027,1.04977536201477,1.08899855613709,1.09636056423187,1.10443043708801,1.07271814346313,1.01810729503632,1,0.962843179702759,0.936524391174316
